,_id,_score,notfound,query,symbol
0,7105,19.005505,,ENSG00000000003,TSPAN6
1,64102,19.61876,,ENSG00000000005,TNMD
2,8813,19.647251,,ENSG00000000419,DPM1
3,57147,20.116043,,ENSG00000000457,SCYL3
4,55732,20.142542,,ENSG00000000460,C1orf112
5,2268,18.920288,,ENSG00000000938,FGR
6,3075,18.921766,,ENSG00000000971,CFH
7,2519,19.638912,,ENSG00000001036,FUCA2
8,2729,19.323303,,ENSG00000001084,GCLC
9,4800,19.235981,,ENSG00000001167,NFYA
10,90529,20.934322,,ENSG00000001460,STPG1
11,57185,19.231379,,ENSG00000001461,NIPAL3
12,81887,19.707865,,ENSG00000001497,LAS1L
13,22875,20.233768,,ENSG00000001561,ENPP4
14,6405,19.247053,,ENSG00000001617,SEMA3F
15,1080,19.322102,,ENSG00000001626,CFTR
16,54467,19.308132,,ENSG00000001629,ANKIB1
17,1595,19.26523,,ENSG00000001630,CYP51A1
18,889,19.617476,,ENSG00000001631,KRIT1
19,5893,18.997194,,ENSG00000002016,RAD52
20,ENSG00000002079,6.7560277,,ENSG00000002079,MYH16
21,572,19.31769,,ENSG00000002330,BAD
22,51056,20.938965,,ENSG00000002549,LAP3
23,4267,19.244005,,ENSG00000002586,CD99
24,9957,19.707289,,ENSG00000002587,HS3ST1
25,26,19.229221,,ENSG00000002726,AOC1
26,51384,19.674538,,ENSG00000002745,WNT16
27,23072,19.31769,,ENSG00000002746,HECW1
28,8379,19.319899,,ENSG00000002822,MAD1L1
29,3927,20.226236,,ENSG00000002834,LASP1
30,29916,20.93963,,ENSG00000002919,SNX11
31,55365,20.198261,,ENSG00000002933,TMEM176A
32,4074,19.322002,,ENSG00000003056,M6PR
33,90293,19.707226,,ENSG00000003096,KLHL13
34,56603,19.305178,,ENSG00000003137,CYP26B1
35,3382,18.974562,,ENSG00000003147,ICA1
36,79007,20.229397,,ENSG00000003249,DBNDD1
37,57679,19.548195,,ENSG00000003393,ALS2
38,843,19.010963,,ENSG00000003400,CASP10
39,8837,18.929296,,ENSG00000003402,CFLAR
40,7035,18.747265,,ENSG00000003436,TFPI
41,55471,19.620865,,ENSG00000003509,NDUFAF7
42,10181,20.172955,,ENSG00000003756,RBM5
43,9108,19.708042,,ENSG00000003987,MTMR7
44,6542,19.698706,,ENSG00000003989,SLC7A2
45,381,20.116043,,ENSG00000004059,ARF5
46,23098,20.148777,,ENSG00000004139,SARM1
47,26073,20.141079,,ENSG00000004142,POLDIP2
48,23129,19.622343,,ENSG00000004399,PLXND1
49,204,19.318504,,ENSG00000004455,AK2
50,952,19.30917,,ENSG00000004468,CD38
51,2288,20.151407,,ENSG00000004478,FKBP4
52,23028,19.319899,,ENSG00000004487,KDM1A
53,10180,19.231379,,ENSG00000004534,RBM6
54,84254,19.005505,,ENSG00000004660,CAMKK1
55,5965,20.160442,,ENSG00000004700,RECQL
56,55610,20.941181,,ENSG00000004766,VPS50
57,126393,20.22468,,ENSG00000004776,HSPB6
58,115703,18.84713,,ENSG00000004777,ARHGAP33
59,4706,19.654768,,ENSG00000004779,NDUFAB1
60,5166,20.930786,,ENSG00000004799,PDK4
61,85413,20.22935,,ENSG00000004809,SLC22A16
62,51364,18.936014,,ENSG00000004838,ZMYND10
63,340273,18.92494,,ENSG00000004846,ABCB5
64,170302,19.709436,,ENSG00000004848,ARX
65,10165,19.316687,,ENSG00000004864,SLC25A13
66,7982,20.143875,,ENSG00000004866,ST7
67,996,20.069727,,ENSG00000004897,CDC27
68,6521,19.630373,,ENSG00000004939,SLC4A1
69,799,18.980368,,ENSG00000004948,CALCR
70,3052,19.319899,,ENSG00000004961,HCCS
71,1856,19.234892,,ENSG00000004975,DVL2
72,64063,19.23678,,ENSG00000005001,PRSS22
73,5976,18.752726,,ENSG00000005007,UPF1
74,8935,19.31506,,ENSG00000005020,SKAP2
75,292,18.975544,,ENSG00000005022,SLC25A5
76,55013,20.06924,,ENSG00000005059,MCUB
77,3207,20.227613,,ENSG00000005073,HOXA11
78,5439,19.620918,,ENSG00000005075,POLR2J
79,56919,19.619242,,ENSG00000005100,DHX33
80,4222,18.670862,,ENSG00000005102,MEOX1
81,221981,19.173592,,ENSG00000005108,THSD7A
82,3980,19.679193,,ENSG00000005156,LIG3
83,79657,19.620918,,ENSG00000005175,RPAP3
84,6296,19.316544,,ENSG00000005187,ACSM3
85,81691,19.67673,,ENSG00000005189,REXO5
86,57019,19.257713,,ENSG00000005194,CIAPIN1
87,56928,19.173592,,ENSG00000005206,SPPL2B
88,80256,20.230967,,ENSG00000005238,FAM214B
89,51226,20.14596,,ENSG00000005243,COPZ2
90,5577,19.255838,,ENSG00000005249,PRKAR2B
91,10943,18.847618,,ENSG00000005302,MSL3
92,1387,19.240835,,ENSG00000005339,CREBBP
93,9256,18.86255,,ENSG00000005379,TSPOAP1
94,4353,18.747265,,ENSG00000005381,MPO
95,5444,19.620918,,ENSG00000005421,PON1
96,6936,19.663963,,ENSG00000005436,GCFC2
97,84058,19.61876,,ENSG00000005448,WDR54
98,54677,19.247053,,ENSG00000005469,CROT
99,5244,19.204975,,ENSG00000005471,ABCB4
100,55904,20.230967,,ENSG00000005483,KMT2E
101,57414,19.704704,,ENSG00000005486,RHBDD2
102,30812,19.706911,,ENSG00000005513,SOX8
103,25998,19.322699,,ENSG00000005700,IBTK
104,7748,19.647251,,ENSG00000005801,ZNF195
105,23077,18.721434,,ENSG00000005810,MYCBP2
106,26224,19.15817,,ENSG00000005812,FBXL3
107,3683,19.231327,,ENSG00000005844,ITGAL
108,5164,20.185495,,ENSG00000005882,PDK2
109,3675,19.697771,,ENSG00000005884,ITGA3
110,7543,19.712841,,ENSG00000005889,ZFX
111,3920,18.980368,,ENSG00000005893,LAMP2
112,3674,19.237707,,ENSG00000005961,ITGA2B
113,51666,20.226236,,ENSG00000005981,ASB4
114,51573,20.14785,,ENSG00000006007,GDE1
115,55049,20.22935,,ENSG00000006015,REX1BD
116,9244,19.674538,,ENSG00000006016,CRLF1
117,114881,19.629875,,ENSG00000006025,OSBPL7
118,26022,19.547707,,ENSG00000006042,TMEM98
119,51087,20.14596,,ENSG00000006047,YBX2
120,3883,19.706911,,ENSG00000006059,KRT33A
121,9020,18.923643,,ENSG00000006062,MAP3K14
122,6833,19.322002,,ENSG00000006071,ABCC8
123,10368,18.915112,,ENSG00000006116,CACNG3
124,54972,19.547707,,ENSG00000006118,TMEM132A
125,163,18.920288,,ENSG00000006125,AP2B1
126,6863,19.274426,,ENSG00000006128,TAC1
127,10127,19.708042,,ENSG00000006194,ZNF263
128,6376,18.75333,,ENSG00000006210,CX3CL1
129,64847,20.943186,,ENSG00000006282,SPATA20
130,8913,18.925077,,ENSG00000006283,CACNA1G
131,51330,19.26523,,ENSG00000006327,TNFRSF12A
132,1750,19.287191,,ENSG00000006377,DLX6
133,4293,19.23678,,ENSG00000006432,MAP3K9
134,5898,20.22024,,ENSG00000006451,RALA
135,55971,19.235981,,ENSG00000006453,BAIAP2L1
136,80853,20.216248,,ENSG00000006459,KDM7A
137,2115,19.26523,,ENSG00000006468,ETV1
138,55750,20.227613,,ENSG00000006530,AGK
139,221,19.308231,,ENSG00000006534,ALDH3B1
140,55001,19.674538,,ENSG00000006555,TTC22
141,57157,19.680943,,ENSG00000006576,PHTF2
142,10344,19.679193,,ENSG00000006606,CCL26
143,9855,19.624428,,ENSG00000006607,FARP2
144,10083,18.925741,,ENSG00000006611,USH1C
145,79017,20.069727,,ENSG00000006625,GGCT
146,10926,19.323303,,ENSG00000006634,DBF4
147,6915,18.86255,,ENSG00000006638,TBXA2R
148,3475,19.236116,,ENSG00000006652,IFRD1
149,56891,19.654768,,ENSG00000006659,LGALS14
150,1352,19.663963,,ENSG00000006695,COX10
151,9569,19.712236,,ENSG00000006704,GTF2IRD1
152,54623,18.998129,,ENSG00000006712,PAF1
153,27072,19.629875,,ENSG00000006715,VPS41
154,9912,18.920433,,ENSG00000006740,ARHGAP44
155,60528,19.244005,,ENSG00000006744,ELAC2
156,85477,19.645376,,ENSG00000006747,SCIN
157,414,19.638912,,ENSG00000006756,ARSD
158,8228,21.012018,,ENSG00000006757,PNPLA4
159,8735,21.020538,,ENSG00000006788,MYH13
160,79602,19.627247,,ENSG00000006831,ADIPOR2
161,51265,19.619547,,ENSG00000006837,CDKL3
162,151531,20.930786,,ENSG00000007001,UPP2
163,10942,19.67673,,ENSG00000007038,PRSS21
164,57787,19.240835,,ENSG00000007047,MARK4
165,8842,19.006649,,ENSG00000007062,PROM1
166,115098,20.230967,,ENSG00000007080,CCDC124
167,90273,20.20886,,ENSG00000007129,CEACAM21
168,5048,19.707289,,ENSG00000007168,PAFAH1B1
169,4843,19.67673,,ENSG00000007171,NOS2
170,1770,19.674538,,ENSG00000007174,DNAH9
171,9703,19.707226,,ENSG00000007202,KIAA0100
172,9058,19.289656,,ENSG00000007216,SLC13A2
173,8522,19.315166,,ENSG00000007237,GAS7
174,79090,19.316544,,ENSG00000007255,TRAPPC6A
175,4145,18.997194,,ENSG00000007264,MATK
176,1087,19.62787,,ENSG00000007306,CEACAM7
177,974,18.86255,,ENSG00000007312,CD79B
178,6329,19.289656,,ENSG00000007314,SCN4A
179,54879,20.19667,,ENSG00000007341,ST7L
180,8277,19.707289,,ENSG00000007350,TKTL1
181,5080,19.322699,,ENSG00000007372,PAX6
182,113000,19.323303,,ENSG00000007376,RPUSD1
183,64285,19.204975,,ENSG00000007384,RHBDF1
184,55692,19.547707,,ENSG00000007392,LUC7L
185,9254,19.624428,,ENSG00000007402,CACNA2D2
186,8938,20.228443,,ENSG00000007516,BAIAP3
187,115939,19.548195,,ENSG00000007520,TSR3
188,9091,19.285,,ENSG00000007541,PIGQ
189,57585,19.625519,,ENSG00000007545,CRAMP1
190,7005,20.142542,,ENSG00000007866,TEAD3
191,6401,19.297792,,ENSG00000007908,SELE
192,55735,19.645376,,ENSG00000007923,DNAJC11
193,2328,18.526724,,ENSG00000007933,FMO3
194,29116,19.31506,,ENSG00000007944,MYLIP
195,27035,19.71164,,ENSG00000007952,NOX1
196,1870,20.148777,,ENSG00000007968,E2F2
197,5689,19.297792,,ENSG00000008018,PSMB1
198,6853,19.707289,,ENSG00000008056,SYN1
199,3720,19.158657,,ENSG00000008083,JARID2
200,6792,19.240835,,ENSG00000008086,CDKL5
201,57172,19.240337,,ENSG00000008118,CAMK1G
202,728642,19.308132,,ENSG00000008128,CDK11A
203,65220,19.706224,,ENSG00000008130,NADK
204,7021,20.185495,,ENSG00000008196,TFAP2B
205,83741,19.619242,,ENSG00000008197,TFAP2D
206,9940,19.698706,,ENSG00000008226,DLEC1
207,9265,20.907824,,ENSG00000008256,CYTH3
208,53616,20.147184,,ENSG00000008277,ADAM22
209,6856,19.633543,,ENSG00000008282,SYPL1
210,1534,19.255838,,ENSG00000008283,CYB561
211,9043,18.73826,,ENSG00000008294,SPAG9
212,1951,19.630373,,ENSG00000008300,CELSR3
213,10157,19.313612,,ENSG00000008311,AASS
214,55200,20.06924,,ENSG00000008323,PLEKHG6
215,51188,19.244005,,ENSG00000008324,SS18L2
216,84954,20.166908,,ENSG00000008382,MPND
217,4257,18.847618,,ENSG00000008394,MGST1
218,1407,19.71154,,ENSG00000008405,CRY1
219,8993,19.006649,,ENSG00000008438,PGLYRP1
220,4784,19.317238,,ENSG00000008441,NFIX
221,6482,19.620865,,ENSG00000008513,ST3GAL1
222,64386,19.706911,,ENSG00000008516,MMP25
223,9235,18.717216,,ENSG00000008517,IL32
224,5310,18.936014,,ENSG00000008710,PKD1
225,23542,19.594511,,ENSG00000008735,MAPK8IP2
226,9862,19.237707,,ENSG00000008838,MED24
227,23221,19.706224,,ENSG00000008853,RHOBTB2
228,54497,19.617476,,ENSG00000008869,HEATR5B
229,7095,19.308231,,ENSG00000008952,SEC62
230,6224,19.285,,ENSG00000008988,RPS20
231,7812,20.22876,,ENSG00000009307,CSDE1
232,9690,19.709436,,ENSG00000009335,UBE3C
233,5980,19.624428,,ENSG00000009413,REV3L
234,10178,20.22882,,ENSG00000009694,TENM1
235,5081,19.638912,,ENSG00000009709,PAX7
236,10747,19.247053,,ENSG00000009724,MASP2
237,389434,19.291407,,ENSG00000009765,IYD
238,199870,20.142542,,ENSG00000009780,FAM76A
239,80342,20.155073,,ENSG00000009790,TRAF3IP3
240,29954,19.232805,,ENSG00000009830,POMT2
241,51534,20.22935,,ENSG00000009844,VTA1
242,51085,19.285,,ENSG00000009950,MLXIPL
243,9031,19.240337,,ENSG00000009954,BAZ1B
244,10048,20.06924,,ENSG00000010017,RANBP9
245,51513,19.620918,,ENSG00000010030,ETV7
246,83932,19.316544,,ENSG00000010072,SPRTN
247,51603,18.91818,,ENSG00000010165,EEF1AKNMT
248,8798,21.012018,,ENSG00000010219,DYRK4
249,7756,19.204975,,ENSG00000010244,ZNF207
250,7384,19.69767,,ENSG00000010256,UQCRC1
251,83930,20.20886,,ENSG00000010270,STARD3NL
252,928,19.227936,,ENSG00000010278,CD9
253,57467,20.140774,,ENSG00000010282,HHATL
254,9918,19.630373,,ENSG00000010292,NCAPD2
255,25900,20.22468,,ENSG00000010295,IFFO1
256,2696,19.308132,,ENSG00000010310,GIPR
257,51533,19.687328,,ENSG00000010318,PHF7
258,56920,19.651423,,ENSG00000010319,SEMA3G
259,11188,19.01166,,ENSG00000010322,NISCH
260,23166,20.149403,,ENSG00000010327,STAB1
261,80199,19.204975,,ENSG00000010361,FUZ
262,6540,19.231472,,ENSG00000010379,SLC6A13
263,3423,19.316687,,ENSG00000010404,IDS
264,5646,19.318329,,ENSG00000010438,PRSS3
265,7752,20.145752,,ENSG00000010539,ZNF200
266,920,18.97396,,ENSG00000010610,CD4
